Tract,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS,pi_i
26163539000,1217,2061,608,524,529,400,9.260965923368754,0.17194063114171743
26163539100,804,1362,391,298,351,322,6.0942416287808,0.11314670204525872
26163539200,2313,3908,976,868,1062,1002,17.479159887936284,0.3245209849412256
26163539300,1586,2945,788,700,771,686,13.202197452026933,0.24511419015494607
26163539400,1434,2819,838,630,663,688,12.63043063024594,0.23449867239833208
26163539500,1355,2379,519,516,563,781,10.642270095482811,0.19758615377048278
26163539600,1317,2439,720,564,614,541,10.931931847971907,0.2029640619663132
26163539700,1020,1675,424,338,449,464,7.47507421725661,0.13878346917388867
26163540100,1397,2361,745,538,557,521,10.585396278011046,0.1965302250312507
26163540200,1476,2322,826,524,588,384,10.406360587577117,0.19320621867329346
26163540300,1608,2770,883,614,642,631,12.412131065591193,0.23044568643171862
26163540400,1252,2026,588,458,543,437,9.070362262883474,0.16840185193089408
26163540500,1389,2563,748,660,610,545,11.527274912316033,0.21401730015725315
26163540600,1371,2416,720,584,560,552,10.848970037512547,0.20142377921729157
26163540700,1313,2400,776,607,556,461,10.793780035031912,0.20039911246678685
26163540800,920,1627,464,414,389,360,7.314248067030479,0.13579754416317283
26163540900,1439,2641,729,600,642,670,11.832709879258005,0.21968805647180062
26163541000,1732,2729,867,635,641,586,12.242790916250954,0.22730168909967766
26163541100,1238,2066,736,539,475,316,9.303659010618784,0.17273327808890415
26163541200,1124,1563,535,356,441,231,6.999373077699812,0.1299515228254156
26163541300,1119,1920,710,540,463,207,8.664702800423461,0.16087031099000995
26163541400,1185,2025,603,448,582,392,9.056040660866424,0.16813595468970474
26163541500,1794,2897,795,621,768,713,12.95134063816812,0.2404567408933905
26163541700,1524,2054,635,485,489,445,9.21663871172927,0.17111764476976532
26163541800,1267,1966,587,481,510,388,8.823831837602361,0.16382472711808066
26163542100,1957,3419,985,884,804,746,15.379844448060894,0.2855447458874893
26163542200,1637,2755,811,665,619,660,12.373012582777687,0.2297194061840731
26163542300,1046,1740,578,435,429,298,7.819941023199981,0.14518632355909966
26163542400,1112,1923,644,510,390,379,8.669439367312492,0.16095825087739146
26163542500,1032,1972,571,442,493,466,8.831468324489745,0.16396650740169114
26163542600,1376,2343,744,585,521,493,10.535895413845768,0.1956111837674057
26163542900,1362,2682,717,609,683,673,12.01095985586829,0.22299747513643817
26163543000,709,1413,349,311,343,410,6.3238714712831445,0.117410047831814
26163543100,966,1915,487,427,489,512,8.570716574820564,0.15912534711879947
26163543200,1187,2291,739,587,524,441,10.30835958141739,0.1913867157195997
26163543300,1412,2516,753,600,592,571,11.292681434464956,0.20966179869258822
26163543400,1386,2344,711,591,588,454,10.53274869060473,0.1955527611811907
26163543500,542,822,319,212,183,108,3.702325311507248,0.06873798651458057
26163543700,703,1157,441,329,274,113,5.224515111650721,0.09699921510777988
26163543900,487,601,219,132,193,57,2.6861749520222253,0.049871970205864605
26163544000,1250,1985,694,473,568,250,8.899572508593845,0.16523094099265195
26163544100,1059,1620,630,430,350,210,7.3044295450805,0.13561525185425738
26163544200,1103,1488,440,311,366,371,6.6533971001203565,0.12352807537542809
26163544300,1320,1795,561,490,496,248,8.079728360827353,0.1500095784078799
26163544800,886,1289,423,372,334,160,5.81651180671537,0.10799032405100341
26163545100,530,753,246,196,181,130,3.388647594131842,0.06291419392675497
26163545200,1234,1900,620,537,396,347,8.580820887857117,0.15931294547248462
26163545500,1543,2590,993,716,576,305,11.690055868749967,0.2170395184246239
26163545600,1684,3326,1384,900,706,336,15.011209532835485,0.2787006088385891
26163545700,1106,1987,751,584,428,224,8.987920433192208,0.1668712232311571
26163545800,1859,3508,1405,1084,698,321,15.9068992827866,0.29533013346788833
26163545900,1637,2530,1018,681,592,239,11.407676295244146,0.21179681237302247
26163546000,1464,2008,748,554,450,256,9.061185890298978,0.16823148187372883
26163546100,1626,2645,1021,687,646,291,11.907607062886827,0.22107861001993337
26163546201,1245,2214,773,645,540,256,10.000297812251187,0.18566718975876956
26163546301,720,1334,408,345,366,215,5.994651878369665,0.11129770220197802
26163546600,873,1407,525,349,354,179,6.323438585411729,0.11740201080084343
26163546700,1299,2091,718,481,529,363,9.374814691487957,0.17405436627551457
26163547000,1730,2586,753,595,679,559,11.58494075950493,0.2150879338517322
26163547100,2183,3311,1220,828,769,494,14.892191719539627,0.2764909043537082
26163547200,1737,2753,981,620,635,517,12.345924790561185,0.22921648973578032
26163985100,140,164,94,35,23,12,0.7380325515861038,0.01370243490505002
26163985300,247,209,120,50,32,7,0.9429912416717169,0.017507731979124648
