Tract,BlockGroup,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS_bg,pi_i,pij_given_i,pi_ij,rate_Age18to34,rate_Age35to49,rate_Age50to64,rate_Age65plus,d0_bg,d0_18to34,d0_35to49,d0_50to64,d0_65plus,exp_workload
26163539200,261635392001,1745,396,409,480,460,7.813438890902034,0.3245209849412256,0.4470145556763681,0.1450656038911593,0.030515444701780168,0.033809634503393984,0.02926824577771965,0.030218264726777928,6.893432855043199,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163539600,261635396002,1389,391,340,323,335,6.2383398204514124,0.2029640619663132,0.570653010575505,0.11582205299970998,0.03822019467814219,0.042346124244460645,0.03665809436645374,0.037847980653079386,8.633934333753384,225.8998,203.8896,235.526,228.12140000000002,53.86141636141636
26163540400,261635404001,1064,330,243,257,234,4.769590382359087,0.16840185193089408,0.5258434276518996,0.08855300704226901,0.04998973565694953,0.05538620551002977,0.047946601593699914,0.04950290190643125,11.292671286957765,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163540900,261635409003,740,174,180,191,195,3.3188425324617814,0.21968805647180062,0.2804803435838061,0.06161818156046923,0.07184148090002979,0.07959688069926346,0.06890524259326167,0.07114184012118349,16.228976167020548,225.8998,203.8896,235.526,228.12140000000002,53.86141636141636
26163541500,261635415002,1545,422,332,390,401,6.91012117325224,0.2404567408933905,0.533544855803409,0.12829445714692173,0.03450454144407463,0.03822936045442323,0.03309430386160411,0.03416851295541835,7.79456901130817,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163542300,261635423001,667,217,161,149,140,2.9965807707620615,0.14518632355909966,0.3831973619585992,0.05563501618031461,0.07956754068919164,0.08815698068062447,0.07631553003991173,0.07879265833095997,17.97429152818025,225.8998,203.8896,235.526,228.12140000000002,53.86141636141636
26163543100,261635431001,1037,281,249,271,236,4.6503164254910345,0.15912534711879947,0.5425819865695878,0.08633854695329345,0.05127190078917765,0.056806782366020984,0.04917636326305831,0.05077258045012468,11.582312133895071,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163544000,261635440001,1985,694,473,568,250,8.899572508593845,0.16523094099265195,1,0.16523094099265195,0.026791237688756377,0.02968339354063438,0.025696251096025607,0.02653032655262736,6.052135235642527,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163545500,261635455003,934,340,259,215,120,4.214273462191477,0.2170395184246239,0.3605007118449396,0.0782429008905598,0.05657690810649781,0.06268447348896773,0.05426454924669138,0.05602592402938187,12.780712225876233,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163545900,261635459001,1282,494,348,309,131,5.77982899844088,0.21179681237302247,0.506661378606131,0.10730926494129964,0.04125218280166708,0.04570542021005501,0.039566161886416075,0.04085044123199328,9.318859844460032,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163546700,261635467001,1268,433,279,319,237,5.678502358519218,0.17405436627551457,0.6057188910278005,0.10542801771895129,0.041988282711259636,0.04652098325180396,0.040272176603929115,0.04157937250436394,9.48514466681701,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
