BlockGroup,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,Tract,MOS_bg
261635035002,585,780,267,204,198,111,26163503500,3.509735966315857
261635035003,223,382,129,98,99,56,26163503500,1.7175210020206786
261635036001,643,1080,377,273,238,192,26163503600,4.860002686488251
261635366002,900,1190,330,306,324,230,26163536600,5.345516262163576
261635366001,504,715,200,166,205,144,26163536600,3.2011494471675244
261635367001,575,805,226,180,205,194,26163536700,3.604090875631658
261635368001,735,1154,398,301,254,201,26163536800,5.197679206846894
261635369001,750,1339,428,328,349,234,26163536900,6.010918368726994
261635369002,634,1079,368,285,243,183,26163536900,4.860793795676805
261635370001,491,791,263,186,177,165,26163537000,3.5512998634438415
261635370002,374,677,216,153,154,154,26163537000,3.0355170192145566
261635370003,632,913,331,210,210,162,26163537000,4.096990067930985
261635371001,574,840,288,208,186,158,26163537100,3.777396855799537
261635371002,398,592,155,185,166,86,26163537100,2.6752963676169164
261635372001,350,450,122,131,126,71,26163537200,2.028777596190579
261635373001,297,431,120,110,110,91,26163537300,1.936666761830561
261635373002,253,328,90,90,87,61,26163537300,1.4766095316376227
261635373003,519,752,223,185,200,144,26163537300,3.374923106823969
261635375001,396,687,224,154,169,140,26163537500,3.0781519703033347
261635375002,276,428,141,117,106,64,26163537500,1.9286193416787631
261635375003,498,873,278,206,198,191,26163537500,3.9189298176500236
261635376001,427,888,250,212,219,207,26163537600,3.9837089722049828
261635376002,411,722,244,183,184,111,26163537600,3.2454825773432483
261635376003,580,912,262,192,250,208,26163537600,4.074741487264657
261635377001,424,719,254,175,178,112,26163537700,3.229421807437019
261635377002,319,574,232,127,128,87,26163537700,2.574730416143381
261635377003,677,872,224,210,249,189,26163537700,3.907273583033388
261635378001,426,688,235,193,149,111,26163537800,3.1060845038856595
261635378002,308,437,145,99,117,76,26163537800,1.9573507795830842
261635039001,826,1265,433,287,298,247,26163503900,5.672413456382967
261635040001,221,345,119,101,72,53,26163504000,1.5601795153486382
261635040002,248,427,130,114,96,87,26163504000,1.9235766923889195
261635041001,335,476,155,103,122,96,26163504100,2.1301383490716495
261635041002,276,419,111,105,128,75,26163504100,1.8785896042109593
261635042001,875,1218,390,293,312,223,26163504200,5.465725546647484
261635043001,286,440,147,103,113,77,26163504300,1.973223090423537
261635043002,373,587,200,143,131,113,26163504300,2.638260380246292
261635043003,253,375,81,96,109,89,26163504300,1.6823461586545068
261635044001,230,353,115,99,93,46,26163504400,1.5911400345730504
261635044002,198,323,91,92,81,59,26163504400,1.4566033470106976
261635044003,287,369,107,92,104,66,26163504400,1.6557703875946994
261635051001,689,931,296,206,267,162,26163505100,4.1644471559352505
261635051002,234,304,86,69,80,69,26163505100,1.361253986333885
261635051003,518,1018,310,220,290,198,26163505100,4.550550618156805
261635052001,502,708,228,152,196,132,26163505200,3.1656176845074606
261635052002,838,1496,503,354,352,287,26163505200,6.715513846729037
261635054001,247,396,135,95,94,72,26163505400,1.7782766197582105
261635382002,333,719,129,141,196,253,26163538200,3.203838848398801
261635381001,522,908,234,191,240,243,26163538100,4.05685703388915
261635381002,498,895,191,202,241,261,26163538100,4.003609089142586
261635382001,436,905,193,222,222,268,26163538200,4.060569789426327
261635383001,740,829,264,157,277,131,26163538300,3.689030895446317
261635383002,998,943,331,214,267,131,26163538300,4.222727470331208
261635384001,604,1271,311,298,314,348,26163538400,5.696981534339123
261635384002,774,1436,387,321,363,365,26163538400,6.428786723488997
261635385001,710,1053,363,245,206,239,26163538500,4.730863630031475
261635385002,479,893,262,215,222,194,26163538500,4.007293960879768
261635385003,663,1096,355,237,272,232,26163538500,4.905751202007847
261635385004,549,901,280,203,244,174,26163538500,4.033855255813052
261635386001,515,963,250,248,273,192,26163538600,4.323794701987969
261635386002,414,823,269,175,189,190,26163538600,3.6844501059248325
261635386003,457,882,248,187,251,196,26163538600,3.9398862781353756
261635386004,572,951,330,218,230,173,26163538600,4.264936500893967
261635387001,924,1498,408,309,332,449,26163538700,6.699497613386394
261635387002,782,1413,407,341,346,319,26163538700,6.34158796719593
261635388001,678,1219,365,265,321,268,26163538800,5.453203518689832
261635389001,906,1466,414,282,363,407,26163538900,6.541141249329304
261635389002,712,1320,369,294,319,338,26163538900,5.911506846677315
261635390001,684,1200,348,299,320,233,26163539000,5.387032931752714
261635390002,533,861,260,225,209,167,26163539000,3.8739329916160417
261635391001,804,1362,391,298,351,322,26163539100,6.0942416287808
261635392001,1142,1745,396,409,480,460,26163539200,7.813438890902034
261635392002,372,646,143,134,180,189,26163539200,2.88299549833439
261635392003,799,1517,437,325,402,353,26163539200,6.782725498699861
261635240011,355,697,267,215,158,57,26163524001,3.157138037543803
261635240012,409,694,247,203,135,109,26163524001,3.1400428691930706
261635240013,249,406,152,132,74,48,26163524001,1.8448785258350775
261635241011,597,898,308,273,188,129,26163524101,4.066097999784586
261635241012,922,1685,589,441,419,236,26163524101,7.583819600633766
261635242001,547,1070,430,347,182,111,26163524200,4.864721716427071
261635242002,319,670,258,198,140,74,26163524200,3.032015949513826
261635242003,597,1144,434,356,255,99,26163524200,5.183911197293651
261635243001,306,635,248,169,165,53,26163524300,2.859603845497166
261635243002,0,4,1,1,1,1,26163524300,0.017960803029957974
261635243003,574,1137,423,385,216,113,26163524300,5.173234895395172
261635245001,15,44,13,6,15,10,26163524600,0.19449887309719477
261635245002,21,23,5,9,6,3,26163524600,0.10490102944240064
261635245003,3,4,2,2,0,0,26163524600,0.018662712920490484
261635246001,666,1016,328,266,280,142,26163524600,4.567902772276055
261635247001,707,1211,325,262,336,288,26163524700,5.412779869654623
261635247002,642,911,180,182,328,221,26163524700,4.050863369941842
261635247003,509,832,238,201,214,179,26163524700,3.7326665679939923
261635248001,623,1048,266,241,287,254,26163524800,4.691516790671045
261635248002,551,910,270,225,240,175,26163524800,4.084889740527789
261635353002,496,857,278,194,217,168,26163535300,3.8399214274280906
261635353001,600,1062,336,263,251,212,26163535300,4.772328359216194
261635353003,533,943,300,254,199,190,26163535300,4.251601835913795
261635356001,299,531,133,114,152,132,26163535600,2.3718859855013834
261635356002,382,725,232,146,158,189,26163535600,3.242422918241246
261635356003,457,808,212,184,222,190,26163535600,3.616379300467885
261635356004,475,832,239,170,208,215,26163535600,3.7173860580331706
261635357001,621,897,284,223,214,176,26163535700,4.031047311584094
261635358001,392,619,194,164,163,98,26163535800,2.7848084893798832
261635358002,360,566,159,127,180,100,26163535800,2.5293479125462737
261635358003,444,687,218,164,174,131,26163535800,3.082414073639753
261635358004,279,486,142,112,143,89,26163535800,2.1752089610853385
261635358005,389,608,177,135,154,142,26163535800,2.7219874633894556
261635361001,498,737,269,180,168,120,26163536100,3.312956892958221
261635361002,772,1055,289,205,214,347,26163536100,4.714498818227848
261635361003,493,625,230,145,163,87,26163536100,2.8027635553546673
261635362001,272,489,162,104,113,110,26163536200,2.189188643772564
261635362002,606,1056,325,272,271,188,26163536200,4.747484914349385
261635363001,564,786,299,198,171,118,26163536300,3.538012391810161
261635363002,302,431,160,84,117,70,26163536300,1.9238808901627382
261635363003,499,780,256,182,185,157,26163536300,3.499591692781422
261635364001,475,660,194,177,148,141,26163536400,2.9733773740653686
261635364002,454,559,143,126,172,118,26163536400,2.498554263672718
261635364003,313,390,125,79,126,60,26163536400,1.7387978989772699
261635365001,482,691,213,166,166,146,26163536500,3.1018775329929023
261635365002,644,906,275,234,224,173,26163536500,4.07446466939577
261635265002,448,620,213,153,145,109,26163526500,2.786761066285343
261635254001,461,592,145,105,220,122,26163525400,2.6257445097383623
261635254002,383,720,268,183,175,94,26163525400,3.2389903055748746
261635257001,480,946,349,304,198,95,26163525700,4.293052173756176
261635257002,1,1,0,0,1,0,26163525700,0.0042458157485797746
261635257003,569,1070,410,340,216,104,26163525700,4.8555269025314125
261635257004,433,889,298,312,191,88,26163525700,4.0461191560435585
261635258001,288,506,198,164,110,34,26163525800,2.29693484780733
261635258002,352,634,262,188,123,61,26163525800,2.8715106963021833
261635259001,310,560,187,195,91,87,26163525900,2.551945692997781
261635259002,275,497,177,166,121,33,26163525900,2.2561028506266316
261635259003,377,714,270,186,170,88,26163525900,3.2150267698722423
261635260001,532,1060,450,300,216,94,26163526000,4.792575649003955
261635260002,433,888,384,238,167,99,26163526000,4.0101977652393215
261635261001,326,744,333,205,130,76,26163526100,3.3646629650216404
261635261002,421,935,408,263,154,110,26163526100,4.232079269632707
261635262001,338,773,342,222,127,82,26163526200,3.5014464312174995
261635262002,258,505,214,161,85,45,26163526200,2.2951234106043117
261635262003,279,591,254,197,88,52,26163526200,2.6921820718214944
261635263001,341,639,241,211,134,53,26163526300,2.9029901993516134
261635263002,333,600,226,180,125,69,26163526300,2.716471763103656
261635263003,432,865,360,294,131,80,26163526300,3.9424760613689753
261635264001,248,506,201,144,97,64,26163526400,2.2884360910193102
261635264002,260,458,162,121,108,67,26163526400,2.06284189551271
261635265001,521,692,238,162,169,123,26163526500,3.1048415465080623
261635279001,248,290,80,80,72,58,26163527900,1.3064578383430747
261635279002,246,289,101,81,62,45,26163527900,1.304878664916214
261635279003,389,365,90,98,113,64,26163527900,1.6393885539366895
261635279004,569,442,150,109,110,73,26163527900,1.9856590344137244
261635301001,680,872,223,199,295,155,26163530100,3.8951601526235495
261635434001,571,997,323,243,233,198,26163543400,4.478892904936688
261635433002,314,607,181,148,138,140,26163543300,2.726754111030062
261635433003,302,543,130,113,147,153,26163543300,2.424528314714689
261635433004,383,590,234,149,120,87,26163543300,2.657518904006718
261635434002,402,654,203,166,171,114,26163543400,2.9385630113228363
261635434003,413,693,185,182,184,142,26163543400,3.115292774345206
261635435001,542,822,319,212,183,108,26163543500,3.702325311507248
261635437001,266,438,150,118,126,44,26163543700,1.9706083279973128
261635437002,437,719,291,211,148,69,26163543700,3.253906783653408
